,pipeline,signal,end-to-end,stand-alone
362,arima,speed_7578,332.71635499999996,286.507557
363,arima,synthetic_10,203.316443,380.03592999999995
364,arima,synthetic_100,351.97357999999997,202.431821
365,arima,synthetic_11,1617.087239,2352.345218
366,arima,synthetic_12,227.357156,1949.3288629999997
367,arima,synthetic_13,343.376936,782.630475
368,arima,synthetic_14,500.773558,393.81509200000005
369,arima,synthetic_15,215.082532,476.507809
370,arima,synthetic_16,308.6566430000001,272.148853
371,arima,synthetic_17,309.458014,271.200524
372,arima,synthetic_18,271.389749,1616.9955750000001
373,arima,synthetic_19,345.07216,304.27054799999996
374,arima,synthetic_20,492.745792,228.00655200000003
375,arima,synthetic_21,246.523931,300.02675899999997
376,arima,synthetic_22,251.41840499999998,285.477857
377,arima,synthetic_23,370.086456,504.56795000000005
378,arima,synthetic_24,208.69718,325.112035
379,arima,synthetic_25,244.25758900000002,412.49631000000005
380,arima,synthetic_26,199.160046,409.60623599999997
381,arima,synthetic_27,355.116464,371.6706499999999
382,arima,synthetic_28,264.19125499999996,304.710565
383,arima,synthetic_29,202.892765,1634.0967589999998
384,arima,synthetic_30,1658.853544,550.5028990000001
385,arima,synthetic_31,282.427854,362.09108399999997
386,arima,synthetic_32,200.944472,1540.95215
387,arima,synthetic_33,148.057617,538.129375
388,arima,synthetic_34,697.1626660000003,1590.162876
389,arima,synthetic_35,1534.5115779999999,209.272738
390,arima,synthetic_36,398.259928,273.48510699999997
391,arima,synthetic_37,257.238789,253.299841
392,arima,synthetic_38,213.128625,400.04168
393,arima,synthetic_39,245.00653300000002,368.880406
394,arima,synthetic_40,1569.9277240000001,275.036686
395,arima,synthetic_41,381.571101,194.20005700000002
396,arima,synthetic_42,221.220069,289.76033799999993
397,arima,synthetic_43,275.876427,814.368924
398,arima,synthetic_44,274.38495,307.844506
399,arima,synthetic_45,165.434705,497.22837000000004
400,arima,synthetic_46,596.497979,1994.5994839999998
401,arima,synthetic_47,294.4641450000001,417.363234
402,arima,synthetic_48,344.235117,234.932842
403,arima,synthetic_49,246.998366,316.726693
404,arima,synthetic_5,1515.212702,288.432604
405,arima,synthetic_50,264.413353,379.999079
406,arima,synthetic_51,1517.594758,660.2872
407,arima,synthetic_52,358.963423,1994.7409870000001
408,arima,synthetic_53,194.263211,422.655798
409,arima,synthetic_54,317.021553,224.73485599999998
410,arima,synthetic_55,372.137941,938.087462
411,arima,synthetic_56,275.364723,273.53181
412,arima,synthetic_57,294.305417,379.526604
413,arima,synthetic_58,410.68428900000004,423.11112
414,arima,synthetic_59,210.15273399999998,318.01686499999994
415,arima,synthetic_6,595.593318,386.01189899999997
416,arima,synthetic_66,323.284902,189.45771399999998
417,arima,synthetic_67,228.22934700000002,298.16482099999996
418,arima,synthetic_68,294.04668399999997,244.491887
419,arima,synthetic_69,214.975394,342.542755
420,arima,synthetic_7,515.680135,220.44995300000002
421,arima,synthetic_70,270.633652,751.646921
422,arima,synthetic_71,1398.838385,348.911326
423,arima,synthetic_72,343.257539,443.980011
424,arima,synthetic_73,201.532865,237.499257
425,arima,synthetic_74,258.246573,287.66930899999994
426,arima,synthetic_75,191.47519599999998,2333.899539
427,arima,synthetic_76,591.963489,761.2145889999999
428,arima,synthetic_77,408.095103,354.832991
429,arima,synthetic_78,156.998255,382.19494499999996
430,arima,synthetic_79,723.159467,301.7695360000001
431,arima,synthetic_8,218.318331,382.953887
432,arima,synthetic_80,255.62043799999998,1523.3979020000004
433,arima,synthetic_81,693.394708,342.81765299999995
434,arima,synthetic_82,316.499571,214.67065499999998
435,arima,synthetic_83,395.949121,600.493712
436,arima,synthetic_84,263.361469,270.28304
437,arima,synthetic_85,221.37475299999997,1513.7465849999999
438,arima,synthetic_86,281.639777,582.9567320000002
439,arima,synthetic_87,225.993231,2029.694063
440,arima,synthetic_88,222.766192,369.58975399999997
441,arima,synthetic_89,208.403162,328.09180900000007
442,arima,synthetic_9,203.12254,171.734325
443,arima,synthetic_90,290.552981,196.28844500000002
444,arima,synthetic_91,377.298361,341.61911999999995
445,arima,synthetic_92,205.39589099999998,10150.036717
446,arima,synthetic_93,355.770167,330.93749600000007
447,arima,synthetic_94,268.451884,1505.1770099999999
448,arima,synthetic_95,249.58595499999998,499.51676000000003
449,arima,synthetic_96,253.06487099999998,161.23012000000003
450,arima,synthetic_97,247.651487,297.50488499999994
451,arima,synthetic_98,338.088554,594.3368380000001
452,arima,synthetic_99,287.031215,308.1386109999999
453,dense_autoencoder,A-1,4553.185954,867.3394559999999
454,dense_autoencoder,A-2,3913.213302,1517.314846
455,dense_autoencoder,A-3,3946.588353,2474.8178239999997
456,dense_autoencoder,A-4,3757.6561520000014,8499.417712
457,dense_autoencoder,A-5,2835.466843,1199.3075199999998
458,dense_autoencoder,A-6,3089.78147,3752.7043310000004
459,dense_autoencoder,A-7,5680.844722,1213.554352
460,dense_autoencoder,A-8,3462.096035,1255.297371
461,dense_autoencoder,A-9,5049.384569,3409.9623640000004
462,dense_autoencoder,A3Benchmark-TS1,1908.3364010000007,624.2615860000001
463,dense_autoencoder,A3Benchmark-TS10,740.39956,1512.342081
464,dense_autoencoder,A3Benchmark-TS100,714.327342,1121.809543
465,dense_autoencoder,A3Benchmark-TS11,1404.75647,1058.848901
466,dense_autoencoder,A3Benchmark-TS12,937.0485480000001,2743.830169
467,dense_autoencoder,A3Benchmark-TS13,1365.67111,1362.8894559999999
468,dense_autoencoder,A3Benchmark-TS14,1329.727418,1331.914208
469,dense_autoencoder,A3Benchmark-TS15,1242.9100529999996,1208.6528250000001
470,dense_autoencoder,A3Benchmark-TS16,987.3301880000001,901.7628200000001
471,dense_autoencoder,A3Benchmark-TS17,1659.615698,1007.377835
472,dense_autoencoder,A3Benchmark-TS18,907.6280720000001,3742.994455
473,dense_autoencoder,A3Benchmark-TS19,2965.9294800000002,1091.221513
474,dense_autoencoder,A3Benchmark-TS2,2410.944113,2742.076671
475,dense_autoencoder,A3Benchmark-TS20,2991.661696,1398.797078
476,dense_autoencoder,A3Benchmark-TS21,1700.3159920000005,1145.660372
477,dense_autoencoder,A3Benchmark-TS22,1341.938163,1032.654657
478,dense_autoencoder,A3Benchmark-TS23,1319.15653,1154.136227
479,dense_autoencoder,A3Benchmark-TS24,2362.961872,960.7461850000001
480,dense_autoencoder,A3Benchmark-TS25,2426.043653,664.951255
481,dense_autoencoder,A3Benchmark-TS26,2962.1702530000002,1483.254525
482,dense_autoencoder,A3Benchmark-TS27,1117.812509,3369.6128460000004
483,dense_autoencoder,A3Benchmark-TS28,995.876114,1441.7565730000001
484,dense_autoencoder,A3Benchmark-TS29,979.718288,1033.273574
485,dense_autoencoder,A3Benchmark-TS3,2196.417651,1322.3209940000002
486,dense_autoencoder,A3Benchmark-TS30,1275.829499,1341.009967
487,dense_autoencoder,A3Benchmark-TS31,1966.930791,890.034483
488,dense_autoencoder,A3Benchmark-TS32,582.3276030000002,705.576397
489,dense_autoencoder,A3Benchmark-TS33,1254.625642,955.8850480000001
490,dense_autoencoder,A3Benchmark-TS34,1354.9722789999996,1428.270675
491,dense_autoencoder,A3Benchmark-TS35,1042.637636,959.6330149999999
492,dense_autoencoder,A3Benchmark-TS36,1634.019914,1392.51719
493,dense_autoencoder,A3Benchmark-TS37,965.163173,1297.418008
494,dense_autoencoder,A3Benchmark-TS38,1061.1781460000002,971.1132360000001
495,dense_autoencoder,A3Benchmark-TS39,1267.380852,1684.030537
496,dense_autoencoder,A3Benchmark-TS4,2421.432475,2734.1030330000003
497,dense_autoencoder,A3Benchmark-TS40,1273.208168,2744.430823
498,dense_autoencoder,A3Benchmark-TS41,2142.265916,1305.581044
499,dense_autoencoder,A3Benchmark-TS42,814.90302,969.0294800000001
500,dense_autoencoder,A3Benchmark-TS43,1084.866381,653.97641
501,dense_autoencoder,A3Benchmark-TS44,1566.640321,842.0459480000002
502,dense_autoencoder,A3Benchmark-TS45,891.7539640000001,2264.1728630000002
503,dense_autoencoder,A3Benchmark-TS46,1334.432268,1317.721809
504,dense_autoencoder,A3Benchmark-TS47,1055.20481,1213.272972
505,dense_autoencoder,A3Benchmark-TS48,1348.972631,1230.745566
506,dense_autoencoder,A3Benchmark-TS49,1476.533048,1853.3165319999998
507,dense_autoencoder,A3Benchmark-TS5,990.430854,1063.673851
