dataset,pipeline,signal,iteration,f1,recall,precision,tn,fp,fn,tp,status,elapsed,split,run_id
realAdExchange,lstm_autoencoder,exchange-2_cpm_results,0,0.5,0.5,0.5,,1,1,1,OK,1486.10709,False,7352502d-5
realAdExchange,lstm_autoencoder,exchange-3_cpc_results,0,1.0,1.0,1.0,,0,0,3,OK,1981.12408,False,7352502d-5
realAdExchange,lstm_autoencoder,exchange-3_cpm_results,0,0.5,1.0,0.3333333333333333,,2,0,1,OK,1413.56047,False,7352502d-5
realAdExchange,lstm_autoencoder,exchange-4_cpm_results,0,0.8888888888888891,1.0,0.8,,1,0,4,OK,1121.5750480000004,False,934e090f-3
realAdExchange,lstm_dynamic_threshold,exchange-2_cpc_results,0,0.5,1.0,0.3333333333333333,,2,0,1,OK,746.381539,False,7352502d-5
realAdExchange,lstm_dynamic_threshold,exchange-2_cpm_results,0,1.0,1.0,1.0,,0,0,2,OK,573.115333,False,7352502d-5
realAdExchange,lstm_dynamic_threshold,exchange-3_cpc_results,0,0.7499999999999999,1.0,0.6,,2,0,3,OK,870.616003,False,7352502d-5
realAdExchange,lstm_dynamic_threshold,exchange-3_cpm_results,0,0.4,1.0,0.25,,3,0,1,OK,821.21878,False,7352502d-5
realAdExchange,lstm_dynamic_threshold,exchange-4_cpm_results,0,0.8888888888888891,1.0,0.8,,1,0,4,OK,535.0222349999998,False,7352502d-5
realAdExchange,tadgan,exchange-2_cpc_results,0,,0.0,0.0,,3,1,0,OK,8506.331449,False,7352502d-5
realAdExchange,tadgan,exchange-2_cpm_results,0,0.8,1.0,0.6666666666666666,,1,0,2,OK,11551.462809999999,False,7352502d-5
realAdExchange,tadgan,exchange-3_cpc_results,0,1.0,1.0,1.0,,0,0,3,OK,9724.892614,False,7352502d-5
realAdExchange,tadgan,exchange-3_cpm_results,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,7565.624237999998,False,7352502d-5
realAdExchange,tadgan,exchange-4_cpm_results,0,0.8888888888888891,1.0,0.8,,1,0,4,OK,7410.8609,False,934e090f-3
realTraffic,dense_autoencoder,TravelTime_387,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,2,2,1,OK,3065.5776739999997,False,7352502d-5
realTraffic,dense_autoencoder,TravelTime_451,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,2232.948078,False,7352502d-5
realTraffic,dense_autoencoder,occupancy_6005,0,,0.0,0.0,,1,1,0,OK,2690.414875,False,934e090f-3
realTraffic,dense_autoencoder,occupancy_t4013,0,0.6666666666666666,0.5,1.0,,0,1,1,OK,1522.696362,False,7352502d-5
realTraffic,dense_autoencoder,speed_6005,0,,0.0,0.0,,1,1,0,OK,1281.561459,False,7352502d-5
realTraffic,dense_autoencoder,speed_7578,0,0.8571428571428571,0.75,1.0,,0,1,3,OK,893.327034,False,7352502d-5
realTraffic,dense_autoencoder,speed_t4013,0,0.4,0.5,0.3333333333333333,,2,1,1,OK,1673.941319,False,7352502d-5
realTraffic,lstm_autoencoder,TravelTime_387,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,2,2,1,OK,5095.694675,False,7352502d-5
realTraffic,lstm_autoencoder,TravelTime_451,0,0.5,1.0,0.3333333333333333,,2,0,1,OK,3158.335951,False,7352502d-5
realTraffic,lstm_autoencoder,occupancy_6005,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,2004.10575,False,7352502d-5
realTraffic,lstm_autoencoder,occupancy_t4013,0,0.6666666666666666,0.5,1.0,,0,1,1,OK,1613.029966,False,7352502d-5
realTraffic,lstm_autoencoder,speed_6005,0,,0.0,0.0,,1,1,0,OK,1038.930437,False,7352502d-5
realTraffic,lstm_autoencoder,speed_7578,0,0.8571428571428571,0.75,1.0,,0,1,3,OK,852.503139,False,7352502d-5
realTraffic,lstm_autoencoder,speed_t4013,0,0.5,0.5,0.5,,1,1,1,OK,1766.961155,False,7352502d-5
realTraffic,lstm_dynamic_threshold,TravelTime_387,0,0.5,1.0,0.3333333333333333,,6,0,3,OK,2160.229104,False,7352502d-5
realTraffic,lstm_dynamic_threshold,TravelTime_451,0,0.2857142857142857,1.0,0.16666666666666666,,5,0,1,OK,990.684251,False,7352502d-5
realTraffic,lstm_dynamic_threshold,occupancy_6005,0,0.5,1.0,0.3333333333333333,,2,0,1,OK,913.1280810000001,False,7352502d-5
realTraffic,lstm_dynamic_threshold,occupancy_t4013,0,0.6666666666666666,0.5,1.0,,0,1,1,OK,894.460017,False,7352502d-5
realTraffic,lstm_dynamic_threshold,speed_6005,0,1.0,1.0,1.0,,0,0,1,OK,1014.167077,False,7352502d-5
realTraffic,lstm_dynamic_threshold,speed_7578,0,0.8888888888888891,1.0,0.8,,1,0,4,OK,620.308215,False,7352502d-5
realTraffic,lstm_dynamic_threshold,speed_t4013,0,0.8,1.0,0.6666666666666666,,1,0,2,OK,1040.548893,False,7352502d-5
realTraffic,tadgan,TravelTime_387,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,2,2,1,OK,9829.454851999999,False,934e090f-3
realTraffic,tadgan,TravelTime_451,0,0.4,1.0,0.25,,3,0,1,OK,12937.346206,False,934e090f-3
realTraffic,tadgan,occupancy_6005,0,0.5,1.0,0.3333333333333333,,2,0,1,OK,12625.989065,False,7352502d-5
realTraffic,tadgan,occupancy_t4013,0,0.2857142857142857,0.5,0.2,,4,1,1,OK,12458.858091,False,7352502d-5
realTraffic,tadgan,speed_6005,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,14111.896926,False,7352502d-5
realTraffic,tadgan,speed_7578,0,0.8,1.0,0.6666666666666666,,2,0,4,OK,8393.930402,False,7352502d-5
realTraffic,tadgan,speed_t4013,0,0.2857142857142857,0.5,0.2,,4,1,1,OK,14539.670085,False,7352502d-5
realTweets,dense_autoencoder,Twitter_volume_AAPL,0,0.75,0.75,0.75,,1,1,3,OK,4069.945762,False,7352502d-5
realTweets,dense_autoencoder,Twitter_volume_AMZN,0,0.4,0.25,1.0,,0,3,1,OK,4554.9106,False,7352502d-5
realTweets,dense_autoencoder,Twitter_volume_CRM,0,0.8571428571428571,1.0,0.75,,1,0,3,OK,2987.4916949999997,False,7352502d-5
realTweets,dense_autoencoder,Twitter_volume_CVS,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,1,1,2,OK,3593.1155409999997,False,7352502d-5
realTweets,dense_autoencoder,Twitter_volume_FB,0,0.4,0.5,0.3333333333333333,,2,1,1,OK,2361.194814,False,7352502d-5
realTweets,dense_autoencoder,Twitter_volume_GOOG,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,1,1,2,OK,2766.985632,False,7352502d-5
realTweets,dense_autoencoder,Twitter_volume_IBM,0,0.4,0.5,0.3333333333333333,,2,1,1,OK,6628.587576,False,7352502d-5
realTweets,dense_autoencoder,Twitter_volume_KO,0,0.5,0.3333333333333333,1.0,,0,2,1,OK,4030.8938340000004,False,7352502d-5
realTweets,dense_autoencoder,Twitter_volume_PFE,0,0.3333333333333333,0.25,0.5,,1,3,1,OK,3703.0567189999997,False,7352502d-5
realTweets,dense_autoencoder,Twitter_volume_UPS,0,,0.0,0.0,,1,5,0,OK,6879.716840000001,False,7352502d-5
realTweets,lstm_autoencoder,Twitter_volume_AAPL,0,0.5714285714285715,0.5,0.6666666666666666,,1,2,2,OK,4199.275065,False,7352502d-5
realTweets,lstm_autoencoder,Twitter_volume_AMZN,0,0.75,0.75,0.75,,1,1,3,OK,6479.365287,False,7352502d-5
realTweets,lstm_autoencoder,Twitter_volume_CRM,0,0.8571428571428571,1.0,0.75,,1,0,3,OK,3913.4956450000004,False,7352502d-5
realTweets,lstm_autoencoder,Twitter_volume_CVS,0,0.8,0.6666666666666666,1.0,,0,1,2,OK,3186.672628000001,False,7352502d-5
realTweets,lstm_autoencoder,Twitter_volume_FB,0,0.5714285714285715,1.0,0.4,,3,0,2,OK,3237.220715,False,7352502d-5
realTweets,lstm_autoencoder,Twitter_volume_GOOG,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,1,1,2,OK,4656.59912,False,7352502d-5
realTweets,lstm_autoencoder,Twitter_volume_IBM,0,0.3333333333333333,0.5,0.25,,3,1,1,OK,2995.102993,False,7352502d-5
realTweets,lstm_autoencoder,Twitter_volume_KO,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,1,1,2,OK,3373.2225700000013,False,7352502d-5
realTweets,lstm_autoencoder,Twitter_volume_PFE,0,,0.0,0.0,,1,4,0,OK,4059.3682259999996,False,7352502d-5
realTweets,lstm_autoencoder,Twitter_volume_UPS,0,,0.0,0.0,,1,5,0,OK,3922.2835549999995,False,7352502d-5
realTweets,lstm_dynamic_threshold,Twitter_volume_AAPL,0,0.5714285714285715,0.5,0.6666666666666666,,1,2,2,OK,1174.195948,False,7352502d-5
realTweets,lstm_dynamic_threshold,Twitter_volume_AMZN,0,0.75,0.75,0.75,,1,1,3,OK,657.296145,False,934e090f-3
realTweets,lstm_dynamic_threshold,Twitter_volume_CRM,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,1,1,2,OK,880.327633,False,7352502d-5
realTweets,lstm_dynamic_threshold,Twitter_volume_CVS,0,0.6666666666666666,1.0,0.5,,3,0,3,OK,692.394963,False,7352502d-5
realTweets,lstm_dynamic_threshold,Twitter_volume_FB,0,0.6666666666666666,1.0,0.5,,2,0,2,OK,848.353233,False,7352502d-5
realTweets,lstm_dynamic_threshold,Twitter_volume_GOOG,0,0.5,0.6666666666666666,0.4,,3,1,2,OK,725.0089,False,7352502d-5
realTweets,lstm_dynamic_threshold,Twitter_volume_IBM,0,0.4,0.5,0.3333333333333333,,2,1,1,OK,1911.049065,False,7352502d-5
realTweets,lstm_dynamic_threshold,Twitter_volume_KO,0,0.5,0.6666666666666666,0.4,,3,1,2,OK,704.902167,False,934e090f-3
realTweets,lstm_dynamic_threshold,Twitter_volume_PFE,0,0.6666666666666666,0.5,1.0,,0,2,2,OK,691.325908,False,934e090f-3
realTweets,lstm_dynamic_threshold,Twitter_volume_UPS,0,,0.0,0.0,,3,5,0,OK,1762.345385,False,7352502d-5
realTweets,tadgan,Twitter_volume_AAPL,0,0.0,0.0,0.0,,0,4,0,ERROR,19080.85887,False,7352502d-5
realTweets,tadgan,Twitter_volume_AMZN,0,0.8571428571428571,0.75,1.0,,0,1,3,OK,32291.161345,False,7352502d-5
realTweets,tadgan,Twitter_volume_CRM,0,0.8571428571428571,1.0,0.75,,1,0,3,OK,13000.157654,False,934e090f-3
realTweets,tadgan,Twitter_volume_CVS,0,0.8,0.6666666666666666,1.0,,0,1,2,OK,35447.421047,False,7352502d-5
realTweets,tadgan,Twitter_volume_FB,0,0.5,1.0,0.3333333333333333,,4,0,2,OK,33038.032295,False,7352502d-5
realTweets,tadgan,Twitter_volume_GOOG,0,0.5714285714285715,0.6666666666666666,0.5,,2,1,2,OK,32936.785595999994,False,7352502d-5
realTweets,tadgan,Twitter_volume_IBM,0,0.4,0.5,0.3333333333333333,,2,1,1,OK,13013.353813,False,934e090f-3
realTweets,tadgan,Twitter_volume_KO,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,1,1,2,OK,1249.996179,False,59d5cf23-1
realTweets,tadgan,Twitter_volume_PFE,0,0.3333333333333333,0.25,0.5,,1,3,1,OK,13022.046542,False,934e090f-3
realTweets,tadgan,Twitter_volume_UPS,0,0.20000000000000004,0.2,0.2,,4,4,1,OK,35884.440669,False,7352502d-5
